positive,negative,neutral,compound,overall
0.208,0.025,0.767,0.9649,Positive
0.166,0.0,0.834,0.4927,Positive
0.24,0.0,0.76,0.6249,Positive
0.274,0.095,0.631,0.9109,Positive
0.405,0.0,0.595,0.7778,Positive
0.215,0.128,0.657,0.7501,Positive
0.227,0.037,0.737,0.996,Positive
0.239,0.033,0.727,0.9844,Positive
0.056,0.056,0.887,0.2531,Positive
0.11,0.047,0.844,0.5423,Positive
0.221,0.042,0.737,0.8658,Positive
0.07,0.083,0.846,-0.25,Negative
0.221,0.066,0.713,0.8857,Positive
0.148,0.049,0.803,0.87,Positive
0.23,0.054,0.716,0.9821,Positive
0.279,0.033,0.688,0.9886,Positive
0.21,0.041,0.749,0.9876,Positive
0.276,0.016,0.708,0.9626,Positive
0.361,0.064,0.574,0.9949,Positive
0.21,0.047,0.742,0.9451,Positive
0.392,0.094,0.514,0.9317,Positive
0.303,0.047,0.65,0.9811,Positive
0.192,0.105,0.703,0.8089,Positive
0.256,0.0,0.744,0.9022,Positive
0.181,0.0,0.819,0.94,Positive
0.254,0.128,0.617,0.9091,Positive
0.068,0.14,0.792,-0.4404,Negative
0.311,0.0,0.689,0.7443,Positive
0.074,0.062,0.864,0.4206,Positive
0.188,0.0,0.812,0.539,Positive
0.444,0.0,0.556,0.8622,Positive
0.171,0.042,0.787,0.8116,Positive
0.167,0.057,0.776,0.9105,Positive
0.169,0.218,0.613,-0.3818,Negative
0.153,0.035,0.811,0.8399,Positive
0.0,0.0,1.0,0.0,Negative
0.106,0.0,0.894,0.6124,Positive
0.0,0.111,0.889,-0.3612,Negative
0.587,0.0,0.413,0.9351,Positive
0.197,0.158,0.645,0.2944,Positive
0.411,0.0,0.589,0.742,Positive
0.0,0.0,1.0,0.0,Negative
0.615,0.0,0.385,0.4927,Positive
0.0,0.0,1.0,0.0,Negative
0.057,0.12,0.822,-0.8334,Negative
0.409,0.0,0.591,0.9313,Positive
0.07,0.043,0.887,0.4005,Positive
0.045,0.026,0.929,0.25,Positive
0.234,0.035,0.731,0.9752,Positive
0.135,0.009,0.856,0.9751,Positive
0.196,0.0,0.804,0.8748,Positive
0.184,0.0,0.816,0.8316,Positive
0.048,0.089,0.864,-0.3022,Negative
0.25,0.0,0.75,0.9729,Positive
0.437,0.0,0.563,0.8519,Positive
0.326,0.0,0.674,0.9023,Positive
0.325,0.0,0.675,0.891,Positive
0.409,0.025,0.566,0.9896,Positive
0.141,0.0,0.859,0.9783,Positive
0.109,0.056,0.834,0.8011,Positive
0.28,0.0,0.72,0.9794,Positive
0.049,0.035,0.916,0.2263,Positive
0.24,0.03,0.73,0.9347,Positive
0.22,0.02,0.761,0.8948,Positive
0.0,0.132,0.868,-0.6657,Negative
0.126,0.035,0.839,0.6369,Positive
0.296,0.025,0.679,0.9346,Positive
0.157,0.0,0.843,0.6249,Positive
0.295,0.038,0.667,0.978,Positive
0.145,0.07,0.785,0.9064,Positive
0.121,0.077,0.802,0.8791,Positive
0.115,0.117,0.767,-0.3612,Negative
0.681,0.0,0.319,0.7506,Positive
0.087,0.185,0.728,-0.4592,Negative
0.186,0.0,0.814,0.4939,Positive
0.423,0.152,0.425,0.6659,Positive
0.411,0.0,0.589,0.7889,Positive
0.279,0.0,0.721,0.8519,Positive
0.267,0.0,0.733,0.8297,Positive
0.402,0.04,0.557,0.9732,Positive
0.56,0.0,0.44,0.9482,Positive
0.044,0.093,0.863,-0.6419,Negative
0.023,0.109,0.867,-0.9036,Negative
0.202,0.03,0.768,0.8783,Positive
0.09,0.025,0.885,0.9168,Positive
0.132,0.134,0.733,-0.2944,Negative
0.099,0.235,0.666,-0.8622,Negative
0.158,0.045,0.796,0.9259,Positive
0.05,0.201,0.749,-0.9872,Negative
0.23,0.0,0.77,0.5095,Positive
0.276,0.039,0.684,0.9974,Positive
0.142,0.046,0.811,0.9668,Positive
0.057,0.053,0.89,0.5194,Positive
0.131,0.086,0.783,0.4406,Positive
0.181,0.018,0.801,0.9433,Positive
0.401,0.0,0.599,0.9524,Positive
0.53,0.0,0.47,0.9413,Positive
0.042,0.164,0.794,-0.9671,Negative
0.199,0.151,0.65,0.535,Positive
