Zip,Centroid Latitude,Centroid Longitude
95926,39.7456276,-121.8438342
95928,39.6874138,-121.8413154
95930,39.5468871,-121.1762149
95932,39.2664692,-121.9786035
95934,40.0600999,-120.9079574
95935,39.3793437,-121.192261
95936,39.6053832,-120.811013
95937,38.8852443,-121.9990391
95938,39.6047133,-121.795288
95939,39.5719825,-122.5808268
95941,39.5163492,-121.2508171
95942,40.01945,-121.566635
95943,39.5848072,-122.0322971
95944,39.495266,-120.9438112
95945,39.1963867,-120.9722894
95946,39.2155858,-121.2032398
95947,40.1745661,-120.8197556
95948,39.3392635,-121.7707851
95949,39.0992301,-121.1388483
95950,39.0434473,-121.9180988
95951,39.7225122,-122.0044327
95953,39.259087,-121.7765588
95954,39.8846537,-121.5867885
95955,39.2945158,-122.2017152
95956,39.838288,-121.1342345
95957,39.0609213,-121.8271551
95959,39.3478111,-120.9187284
95960,39.4032165,-121.0344858
95961,39.0413331,-121.5628346
95962,39.344791,-121.2645524
95963,39.7361738,-122.2594816
95965,39.5939448,-121.5813626
95966,39.4753603,-121.4141104
33605,27.9511221,-82.4296797
37362,35.0312838,-84.6808572
33606,27.9174523,-82.4522793
37363,35.1071764,-85.0630636
37365,35.3825297,-85.5597422
23085,37.6889537,-76.8256452
43777,39.8183146,-82.0973451
43778,39.9992905,-81.3788617
49946,46.7208942,-88.3215922
43779,39.8195698,-81.427766
23086,37.6685728,-77.0544136
49947,46.3854174,-89.6163563
43780,39.9086931,-81.4379517
23089,37.4557955,-76.9035007
43782,39.6217952,-82.2124666
23091,37.6562637,-76.8024918
49948,46.7111754,-89.0200146
23092,37.6067689,-76.5147485
43783,39.8044797,-82.2785808
43786,39.7104644,-81.2770123
49950,47.3863184,-88.1337412
49952,46.7013624,-88.7849452
43787,39.5239636,-81.801822
53537,42.6723955,-89.2105063
61858,40.1342579,-87.7618765
61859,40.1504277,-87.9629048
61862,40.3060274,-87.9586058
61863,39.9052548,-88.2784716
53538,42.9200544,-88.8571475
53540,43.2292617,-90.2849151
61864,39.9750645,-88.152723
53541,42.566144,-90.0293722
61865,40.3049246,-87.8024644
53543,43.0575679,-90.3454599
53544,42.8775596,-89.9056628
61866,40.3125868,-88.1545487
53545,42.7387349,-89.0402237
61870,39.8975542,-87.6183728
61871,40.1902245,-87.9680397
61872,39.9453764,-88.3781095
61873,40.1338964,-88.0391224
61874,40.047572,-88.2567852
61875,40.1034847,-88.4164201
53546,42.6522444,-88.9481662
61876,39.9013273,-87.836174
61877,39.9891919,-88.0816006
61878,40.2426506,-88.1454535
61880,39.9737955,-88.248906
53548,42.682985,-89.1246732
61882,40.1062297,-88.7547293
37714,36.2603357,-84.292968
